Rank,Team,Conference,Wins,Losses,Adjusted_Total,P4_Wins,G5_Wins,Notes
1,Georgia,SEC,15,0,19.25,12,3,National Champion / Big Ten Champion
2,Michigan,Big Ten,13,1,16.22,12,3,Runner-up / Pac-12 Champion
3,TCU,Big XII,13,2,14.8,10,2,
4,Ohio State,Big Ten,11,2,13.38,11,1,ACC Champion
5,Tennessee,SEC,11,2,12.52,10,2,Big XII Champion
6,Alabama,SEC,11,2,12.42,9,2,
7,Penn State,Big Ten,11,2,12.33,9,2,SEC Champion
8,Clemson,ACC,11,3,11.33,9,1,
9,Washington,Pac 12,11,2,9.72,9,1,
10,Oregon,Pac 12,10,3,9.24,8,1,
11,USC,Pac 12,11,3,9.2,8,2,
12,Kansas State,Big XII,10,4,7.62,7,2,
13,Florida State,ACC,10,3,7.45,7,2,
14,Utah,Pac 12,10,4,6.79,7,3,
15,LSU,SEC,10,4,6.66,8,1,
16,Oregon State,Pac 12,10,3,5.78,1,9,
17,Mississippi State,SEC,9,4,5.69,9,0,
18,Tulane,American,12,2,4.84,7,1,
19,Notre Dame,Independent,9,4,4.24,9,0,
20,Pittsburgh,ACC,9,4,4.09,8,2,
21,Minnesota,Big Ten,9,4,3.92,7,1,
22,UCLA,Pac 12,9,4,3.63,6,2,
23,Texas,Big XII,8,5,3.09,0,13,Conference USA Champion
24,James Madison,Sun Belt,8,3,2.7,8,0,
25,Troy,Sun Belt,12,2,2.61,6,2,
