Rank,Team,Conference,Wins,Losses,Adjusted_Total,P4_Wins,G5_Wins,Notes
1,Michigan,Big Ten,15,0,19.25,12,3,National Champion / Big Ten Champion
2,Washington,Pac 12,14,1,16.22,12,3,Runner-up / Pac-12 Champion
3,Georgia,SEC,13,1,14.8,10,2,
4,Florida State,ACC,13,1,13.38,11,1,ACC Champion
5,Texas,Big XII,12,2,12.52,10,2,Big XII Champion
6,Oregon,Pac 12,12,2,12.42,9,2,
7,Alabama,SEC,12,2,12.33,9,2,SEC Champion
8,Ohio State,Big Ten,11,2,11.33,9,1,
9,Ole Miss,SEC,11,2,9.72,9,1,
10,Penn State,Big Ten,10,3,9.24,8,1,
11,Missouri,SEC,11,2,9.2,8,2,
12,LSU,SEC,10,3,7.62,7,2,
13,Notre Dame,Independent,10,3,7.45,7,2,
14,Oklahoma,Big XII,10,3,6.79,7,3,
15,Arizona,Pac 12,10,3,6.66,8,1,
16,James Madison,Sun Belt,11,2,5.78,1,9,
17,Louisville,ACC,10,4,5.69,9,0,
18,Kansas State,Big XII,9,4,4.84,7,1,
19,Oklahoma Sate,Big XII,10,4,4.24,9,0,
20,Iowa,Big Ten,10,4,4.09,8,2,
21,Clemson,ACC,9,4,3.92,7,1,
22,Tennessee,SEC,9,4,3.63,6,2,
23,Liberty,Conference USA,13,1,3.09,0,13,Conference USA Champion
24,West Virginia,Big XII,9,4,2.7,8,0,
25,NC State,ACC,9,4,2.61,6,2,
