Rank,Team,Conference,Wins,Losses,Adjusted_Total,P4_Wins,G5_Wins,Notes
1,Ohio State,Big Ten,14,2,18.68,11,3,National Champion
2,Notre Dame,Independent,14,2,17.194,11,3,Runner-up
3,Oregon,Big Ten,13,1,15.93,11,1,Big Ten Champion
4,Texas,SEC,13,3,14.082,10,3,
5,Penn State,Big Ten,13,3,13.601,10,3,
6,Indiana,Big Ten,11,2,11.088,8,2,
7,Georgia,SEC,11,3,10.298,9,1,SEC Champion
8,SMU,ACC,11,3,9.324,9,1,
9,BYU,Big XII,11,2,8.828,9,1,
10,Arizona State,Big XII,11,3,8.799,9,2,Big XII Champion
11,Iowa State,Big XII,11,3,8.336,9,1,
12,Boise State,Mountain West,12,2,8.334,2,9,
13,Ole Miss,SEC,10,3,8.274,7,2,
14,Tennessee,SEC,10,3,7.628,7,2,
15,Miami,ACC,10,3,7.621,7,2,
16,Illinois,Big Ten,10,3,7.122,8,1,
17,Clemson,ACC,10,4,6.602,8,1,ACC Champion
18,Alabama,SEC,9,4,6.517,7,1,
19,Missouri,SEC,10,3,6.334,7,2,
20,Syracuse,ACC,10,3,6.066,6,3,
21,UNLV,Mountain West,11,3,6.057,4,6,
22,South Carolina,SEC,9,4,5.844,6,2,
23,Louisville,ACC,9,4,5.708,7,1,
24,Memphis,American,11,2,5.435,2,8,
25,LSU,SEC,9,4,5.235,6,2,
